index,ts_code,symbol,name,area,industry,fullname,market,exchange,list_date,is_hs
4006,603258.SH,603258,电魂网络,浙江,互联网,杭州电魂网络科技股份有限公司,主板,SSE,20161026,H
4007,603259.SH,603259,药明康德,江苏,化学制药,无锡药明康德新药开发股份有限公司,主板,SSE,20180508,H
4008,603260.SH,603260,合盛硅业,浙江,化工原料,合盛硅业股份有限公司,主板,SSE,20171030,H
4009,603261.SH,603261,立航科技,四川,航空,成都立航科技股份有限公司,主板,SSE,20220315,N
4010,603266.SH,603266,天龙股份,浙江,汽车配件,宁波天龙电子股份有限公司,主板,SSE,20170110,N
4011,603267.SH,603267,鸿远电子,北京,元器件,北京元六鸿远电子科技股份有限公司,主板,SSE,20190515,H
4012,603268.SH,603268,松发股份,广东,家居用品,广东松发陶瓷股份有限公司,主板,SSE,20150319,N
4013,603269.SH,603269,海鸥股份,江苏,机械基件,江苏海鸥冷却塔股份有限公司,主板,SSE,20170517,N
4014,603272.SH,603272,联翔股份,浙江,家居用品,浙江联翔智能家居股份有限公司,主板,SSE,20220520,N
4015,603277.SH,603277,银都股份,浙江,专用机械,银都餐饮设备股份有限公司,主板,SSE,20170911,N
4016,603278.SH,603278,大业股份,山东,钢加工,山东大业股份有限公司,主板,SSE,20171113,N
4017,603279.SH,603279,景津装备,山东,环境保护,景津装备股份有限公司,主板,SSE,20190729,H
4018,603280.SH,603280,南方路机,福建,专用机械,福建南方路面机械股份有限公司,主板,SSE,20221108,N
4019,603281.SH,603281,江瀚新材,湖北,化工原料,湖北江瀚新材料股份有限公司,主板,SSE,20230131,N
4020,603282.SH,603282,亚光股份,浙江,专用机械,浙江亚光科技股份有限公司,主板,SSE,20230315,N
4021,603283.SH,603283,赛腾股份,江苏,专用机械,苏州赛腾精密电子股份有限公司,主板,SSE,20171225,H
4022,603286.SH,603286,日盈电子,江苏,汽车配件,江苏日盈电子股份有限公司,主板,SSE,20170627,N
4023,603288.SH,603288,海天味业,广东,食品,佛山市海天调味食品股份有限公司,主板,SSE,20140211,H
4024,603289.SH,603289,泰瑞机器,浙江,专用机械,泰瑞机器股份有限公司,主板,SSE,20171031,N
4025,603290.SH,603290,斯达半导,浙江,半导体,嘉兴斯达半导体股份有限公司,主板,SSE,20200204,H
4026,603291.SH,603291,联合水务,江苏,水务,江苏联合水务科技股份有限公司,主板,SSE,20230327,N
4027,603297.SH,603297,永新光学,浙江,元器件,宁波永新光学股份有限公司,主板,SSE,20180910,H
4028,603298.SH,603298,杭叉集团,浙江,专用机械,杭叉集团股份有限公司,主板,SSE,20161227,H
4029,603299.SH,603299,苏盐井神,江苏,食品,江苏苏盐井神股份有限公司,主板,SSE,20151231,H
4030,603300.SH,603300,华铁应急,浙江,多元金融,浙江华铁应急设备科技股份有限公司,主板,SSE,20150529,H
4031,603301.SH,603301,振德医疗,浙江,医疗保健,振德医疗用品股份有限公司,主板,SSE,20180412,H
4032,603303.SH,603303,得邦照明,浙江,家用电器,横店集团得邦照明股份有限公司,主板,SSE,20170330,H
4033,603305.SH,603305,旭升集团,浙江,汽车配件,宁波旭升集团股份有限公司,主板,SSE,20170710,H
4034,603306.SH,603306,华懋科技,福建,汽车配件,华懋(厦门)新材料科技股份有限公司,主板,SSE,20140926,H
4035,603307.SH,603307,扬州金泉,江苏,文教休闲,扬州金泉旅游用品股份有限公司,主板,SSE,20230216,N
