trade_date,open,close,high,low,volume,money
2018-07-27,3533.77,3521.23,3545.41,3512.7,7017810400.0,81192174902.0
2018-07-30,3520.85,3515.08,3550.9,3489.55,8211699500.0,96183097601.0
2018-07-31,3510.47,3517.66,3528.15,3493.15,6798081700.0,80022152109.0
2018-08-01,3530.03,3447.39,3543.61,3446.78,9034861700.0,1.07477214866e+11
2018-08-02,3434.35,3370.96,3434.35,3322.1,10130872700.0,1.22401283623e+11
2018-08-03,3366.66,3315.28,3381.34,3315.2,7079691000.0,91395987151.0
2018-08-06,3312.82,3273.27,3344.25,3257.69,7797508300.0,97517991022.0
2018-08-07,3284.98,3368.87,3368.96,3263.5,9178391600.0,1.07512223951e+11
2018-08-08,3362.15,3314.51,3368.16,3311.77,7928486500.0,90958912013.0
2018-08-09,3303.48,3397.53,3408.39,3299.62,9195757200.0,1.08802315182e+11
2018-08-10,3398.41,3405.02,3424.04,3380.57,6896729900.0,85634522136.0
2018-08-13,3369.98,3390.34,3396.19,3336.7,7619153200.0,90869290864.0
2018-08-14,3386.48,3372.91,3391.73,3356.61,6065144600.0,72121992610.0
2018-08-15,3371.96,3291.98,3372.14,3288.71,6817405500.0,83402193917.0
2018-08-16,3251.86,3276.73,3315.2,3231.56,7654736600.0,89269175663.0
2018-08-17,3305.9,3229.62,3311.57,3224.1,6739541300.0,84452452537.6
2018-08-20,3238.22,3267.25,3267.25,3209.01,7090422800.0,88963382601.9
2018-08-21,3271.84,3326.65,3331.71,3270.03,7520558300.0,97925840441.5
2018-08-22,3328.97,3307.95,3328.97,3299.39,5078705700.0,66548536184.4
2018-08-23,3308.46,3320.03,3336.11,3285.81,6111233400.0,80212785557.6
2018-08-24,3308.48,3325.33,3353.04,3291.87,6376589700.0,77197847851.7
2018-08-27,3339.39,3406.57,3406.57,3339.26,9427008200.0,1.14960964551e+11
2018-08-28,3408.15,3400.17,3416.59,3388.81,7544536300.0,94945949810.0
2018-08-29,3393.05,3386.57,3398.71,3377.12,6702040400.0,79072300213.0
2018-08-30,3385.81,3351.09,3402.56,3349.47,6838529000.0,80226052652.0
2018-08-31,3333.38,3334.5,3356.58,3310.87,7620563000.0,96091892858.0
2018-09-03,3320.69,3321.82,3325.61,3291.78,6642985500.0,81305681453.0
2018-09-04,3324.19,3363.9,3370.96,3307.96,6708880700.0,85892034874.0
2018-09-05,3349.7,3298.14,3354.2,3298.14,6430188800.0,80656675217.0
2018-09-06,3286.66,3262.88,3311.5,3253.76,6230028800.0,79373138215.9
